PROJECT_ID,SHIPMENT_NUMBER,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,LAT,LON,RECORD_TIMESTAMP,GPS_coord,last_delivery_coord,POSTCODE,reached_delivery_loc,almost_reached_delivery_loc,on_time,almost_on_time
5456fcfa-5b0c-428e-b322-240d508b6660,SEZHUK-231005-250448,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,EH48 2FB,52.315672,-0.157664,55.877803,-3.648558,2023-10-06 09:45:00+00:00,2023-10-06 10:00:00+00:00,2023-10-09 09:55:00+00:00,2023-10-09 10:25:00+00:00,52.31654422,-0.15726316,2023-10-06 10:24:00+01:00,"[52.31654422, -0.15726316]","[55.877803, -3.648558]",PE29 2XJ,0,0,0,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231217-275004,CAUK000660,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.764125,-1.740145,51.398851,-1.231993,2023-12-19 14:20:00+00:00,2023-12-19 16:00:00+00:00,2023-12-20 06:00:00+00:00,2023-12-20 08:56:00+00:00,53.7454231574671,-1.70285456004236,2023-12-20 04:08:00+00:00,"[53.7454231574671, -1.70285456004236]","[51.398851, -1.231993]",No postcode found for the given coordinates.,0,0,0,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231210-272018,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.767302,-1.74656,51.6607,-0.022247,2023-12-14 01:20:00+00:00,2023-12-14 03:00:00+00:00,2023-12-14 07:03:00+00:00,2023-12-14 10:43:00+00:00,51.659889300233104,-0.024926167738865,2023-12-14 10:18:00+00:00,"[51.659889300233104, -0.024926167738865]","[51.6607, -0.022247]",No postcode found for the given coordinates.,0,0,0,0
40415fe3-e446-4d1e-b141-3698b0dc47f3,SEZHUK-231211-272127,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,HP22 5BL,NG31 7UH,51.779657,-0.772897,52.888113,-0.634948,2023-12-13 09:00:00+00:00,2023-12-13 09:30:00+00:00,2023-12-13 15:30:00+00:00,2023-12-13 16:00:00+00:00,52.8898615976303,-0.63438873938486,2023-12-13 17:22:00+00:00,"[52.8898615976303, -0.63438873938486]","[52.888113, -0.634948]",No postcode found for the given coordinates.,0,0,0,0
39a4e234-5d35-4d94-8e8a-b8bf6fe13953,SEZHUK-231025-256168,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.18045,55.735089,-4.168719,2023-11-07 14:00:00+00:00,2023-11-07 15:00:00+00:00,2023-11-07 23:00:00+00:00,2023-11-07 23:59:00+00:00,55.8454462753676,-3.88053080781484,2023-11-08 03:53:00+00:00,"[55.8454462753676, -3.88053080781484]","[55.735089, -4.168719]",No postcode found for the given coordinates.,0,0,0,0
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231109-261150,CAUK001009,3.5T Van,LWB Van,NP10 9DQ,DE74 2TR,51.582459,-3.043825,52.829374,-1.332134,2023-11-25 08:30:00+00:00,2023-11-25 09:30:00+00:00,2023-11-25 12:30:00+00:00,2023-11-25 13:30:00+00:00,52.4797923,-1.9746715,2023-11-25 12:54:00+00:00,"[52.4797923, -1.9746715]","[52.829374, -1.332134]",B67 5QS,0,0,0,0
39a4e234-5d35-4d94-8e8a-b8bf6fe13953,SEZHUK-231120-264422,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,ML1 4UY,52.334853,-1.18045,55.825996,-3.989714,2023-12-08 16:00:00+00:00,2023-12-08 17:00:00+00:00,2023-12-08 23:00:00+00:00,2023-12-08 23:59:00+00:00,55.8230515588736,-3.98680095881202,2023-12-09 02:19:00+00:00,"[55.8230515588736, -3.98680095881202]","[55.825996, -3.989714]",No postcode found for the given coordinates.,0,0,0,0
433732b1-4db6-4969-985d-710c0033eeb4,SEZHUK-231129-267720,CAUK000912,3.5T Van,Box,S35 2PW,LS27 0FU,53.476537,-1.471065,53.734398,-1.604189,2023-12-09 03:15:00+00:00,2023-12-09 03:45:00+00:00,2023-12-09 05:00:00+00:00,2023-12-09 05:30:00+00:00,53.7342874,-1.6042265,2023-12-09 04:23:00+00:00,"[53.7342874, -1.6042265]","[53.734398, -1.604189]",LS27 0FU,1,1,1,1
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763558,-1.739636,51.398851,-1.231993,2023-11-27 00:20:00+00:00,2023-11-27 02:00:01+00:00,2023-11-27 07:37:00+00:00,2023-11-27 10:33:01+00:00,51.39891409547911,-1.23110538785241,2023-11-27 12:56:00+00:00,"[51.39891409547911, -1.23110538785241]","[51.398851, -1.231993]",RG19 4BQ,1,1,0,0
433732b1-4db6-4969-985d-710c0033eeb4,SEZHUK-231122-265191,CAUK000912,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.766832,-1.740516,52.641456,-1.216005,2023-11-29 00:30:00+00:00,2023-11-29 01:00:00+00:00,2023-11-30 02:30:00+00:00,2023-11-30 03:00:00+00:00,52.6472817274336,-1.21600540933427,2023-11-29 02:26:00+00:00,"[52.6472817274336, -1.21600540933427]","[52.641456, -1.216005]",No postcode found for the given coordinates.,0,0,0,0
